Start time (UTC), 1432 
 Sky conditions, CO-SDNV 
 Other notes, ASD only. RS (not 5 due to freshwater lens drilling) + BP for 1st time. Stern obs w/ NIR/microCT @ 1 5 + 7. 5A and 5B nearly indistinguishable visibly.  
 Ship latitude, 81.22083
 Ship longitude, 0.27618
Position, 1A, 1B,  2,  3,  4, 5A, 5B,  6,  7
Surface type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8
637,0.695,0.362,0.246,0.255,0.302,0.722,0.713,0.386,0.691
638,0.694,0.362,0.245,0.254,0.301,0.722,0.712,0.384,0.690
639,0.694,0.361,0.244,0.253,0.300,0.721,0.712,0.383,0.689
640,0.694,0.360,0.243,0.252,0.299,0.720,0.711,0.382,0.689
641,0.693,0.360,0.242,0.251,0.298,0.720,0.710,0.380,0.688
642,0.693,0.359,0.241,0.250,0.297,0.719,0.710,0.379,0.687
643,0.693,0.359,0.240,0.249,0.296,0.719,0.709,0.378,0.686
644,0.692,0.358,0.239,0.248,0.295,0.718,0.709,0.377,0.686
645,0.692,0.358,0.238,0.247,0.293,0.718,0.708,0.375,0.685
646,0.692,0.357,0.237,0.246,0.292,0.717,0.707,0.374,0.684
647,0.691,0.356,0.236,0.245,0.291,0.717,0.707,0.373,0.683
648,0.691,0.356,0.235,0.244,0.290,0.716,0.706,0.372,0.683
649,0.691,0.355,0.234,0.243,0.289,0.716,0.706,0.370,0.682
650,0.690,0.354,0.233,0.241,0.287,0.715,0.705,0.369,0.681
651,0.690,0.354,0.232,0.240,0.286,0.715,0.705,0.368,0.681
652,0.690,0.353,0.231,0.239,0.285,0.714,0.704,0.366,0.680
653,0.689,0.352,0.230,0.239,0.284,0.714,0.703,0.365,0.679
654,0.689,0.352,0.229,0.237,0.282,0.713,0.703,0.364,0.679
655,0.689,0.351,0.228,0.236,0.281,0.713,0.702,0.362,0.678
656,0.688,0.350,0.226,0.235,0.279,0.712,0.702,0.360,0.677
657,0.688,0.349,0.225,0.234,0.278,0.712,0.702,0.359,0.676
658,0.687,0.348,0.224,0.232,0.276,0.711,0.701,0.357,0.675
659,0.687,0.348,0.223,0.231,0.275,0.711,0.700,0.356,0.675
660,0.687,0.347,0.222,0.230,0.274,0.710,0.700,0.355,0.674
661,0.687,0.347,0.221,0.229,0.273,0.710,0.700,0.354,0.674
662,0.686,0.346,0.220,0.229,0.272,0.710,0.699,0.353,0.673
