Start time (UTC), 0743 
 Sky conditions, CO-SDV 
 Other notes, Simultaneous with stakes readings (Ian & Debbie). Possible scratch on spectralon plate. Surface slightly frozen (small ponds have thin ice lid). 
 Ship latitude, 79.99248
 Ship longitude, -0.65415
Position, 1, 2, 3, 4, 5, 6
Surface type,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5
678,0.749,0.733,0.308,0.381,0.727,0.724
679,0.749,0.733,0.307,0.381,0.727,0.723
680,0.748,0.733,0.307,0.381,0.727,0.722
681,0.748,0.732,0.306,0.380,0.726,0.722
682,0.748,0.731,0.305,0.380,0.726,0.721
683,0.748,0.731,0.304,0.379,0.726,0.721
684,0.747,0.731,0.303,0.378,0.726,0.720
685,0.746,0.732,0.302,0.378,0.725,0.720
686,0.745,0.731,0.302,0.377,0.724,0.719
687,0.745,0.730,0.301,0.376,0.724,0.718
688,0.746,0.730,0.300,0.376,0.724,0.718
689,0.744,0.730,0.299,0.375,0.724,0.717
690,0.744,0.730,0.297,0.374,0.723,0.717
691,0.744,0.729,0.296,0.373,0.723,0.716
692,0.743,0.728,0.295,0.372,0.723,0.715
693,0.742,0.728,0.293,0.371,0.723,0.714
694,0.741,0.727,0.292,0.370,0.722,0.713
695,0.741,0.726,0.290,0.369,0.721,0.712
696,0.741,0.727,0.288,0.369,0.721,0.711
697,0.740,0.726,0.287,0.367,0.719,0.711
698,0.739,0.725,0.286,0.366,0.718,0.710
699,0.738,0.724,0.284,0.366,0.718,0.709
700,0.738,0.723,0.282,0.364,0.717,0.707
701,0.738,0.722,0.280,0.363,0.717,0.706
702,0.737,0.722,0.279,0.362,0.716,0.706
703,0.735,0.722,0.277,0.361,0.715,0.705
704,0.735,0.720,0.275,0.359,0.714,0.704
705,0.735,0.720,0.273,0.358,0.713,0.702
706,0.734,0.720,0.271,0.358,0.713,0.701
707,0.732,0.718,0.270,0.356,0.712,0.700
708,0.732,0.718,0.268,0.355,0.711,0.699
709,0.731,0.717,0.266,0.354,0.710,0.698
