Start time (UTC), 1100 
 Sky conditions, CO-SDNV 
 Other notes, Melinda & Felix. Melting conditions and pond lids melting. SSL present. NSDV. 
 Ship latitude, 88.11375
 Ship longitude, 109.49771
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type, s, s, s, s, s, p, s, p, p, p, s, s, s
Surface thickness (cm),  0,  1,  3,  1,  1, 20,  1, 36, 36, 16,  5,  4,  0
Notes,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN, thin ice lid on pond,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN
Change in incident (%),10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
515,0.513,0.569,0.629,0.592,0.453,0.342,0.734,,0.220,0.418,0.685,0.673,0.628
516,0.512,0.569,0.629,0.591,0.453,0.343,0.734,,0.219,0.418,0.686,0.673,0.628
517,0.512,0.569,0.629,0.591,0.453,0.344,0.734,,0.219,0.418,0.685,0.673,0.628
518,0.512,0.568,0.629,0.591,0.453,0.342,0.734,,0.220,0.418,0.685,0.673,0.628
519,0.511,0.568,0.628,0.591,0.452,0.342,0.734,,0.220,0.418,0.686,0.673,0.627
520,0.511,0.568,0.628,0.591,0.452,0.342,0.734,,0.219,0.418,0.685,0.673,0.628
521,0.511,0.568,0.628,0.591,0.452,0.342,0.734,,0.219,0.417,0.685,0.673,0.628
522,0.511,0.567,0.628,0.591,0.451,0.342,0.733,,0.218,0.417,0.685,0.673,0.627
523,0.511,0.567,0.628,0.591,0.452,0.342,0.734,,0.218,0.417,0.685,0.672,0.627
524,0.511,0.567,0.628,0.591,0.452,0.341,0.734,,0.218,0.417,0.684,0.672,0.627
525,0.511,0.567,0.628,0.591,0.451,0.341,0.733,,0.218,0.417,0.684,0.673,0.627
526,0.511,0.567,0.628,0.591,0.451,0.341,0.733,,0.218,0.416,0.684,0.673,0.627
527,0.511,0.567,0.628,0.590,0.451,0.341,0.733,,0.217,0.417,0.684,0.672,0.627
528,0.510,0.567,0.627,0.590,0.451,0.340,0.733,,0.217,0.416,0.685,0.672,0.627
529,0.510,0.567,0.627,0.590,0.451,0.340,0.733,,0.217,0.416,0.685,0.672,0.626
530,0.509,0.566,0.627,0.590,0.450,0.340,0.732,,0.217,0.416,0.684,0.672,0.627
531,0.509,0.566,0.627,0.590,0.450,0.340,0.732,,0.216,0.416,0.684,0.671,0.626
532,0.509,0.567,0.627,0.589,0.450,0.339,0.733,,0.216,0.415,0.684,0.671,0.626
533,0.509,0.566,0.626,0.589,0.450,0.340,0.733,,0.216,0.415,0.683,0.671,0.626
534,0.509,0.566,0.626,0.589,0.449,0.339,0.732,,0.216,0.415,0.683,0.671,0.626
535,0.509,0.565,0.626,0.589,0.449,0.339,0.732,,0.216,0.415,0.683,0.671,0.626
536,0.509,0.565,0.627,0.589,0.449,0.338,0.731,,0.216,0.414,0.684,0.671,0.625
537,0.509,0.565,0.626,0.588,0.449,0.338,0.732,,0.215,0.414,0.683,0.671,0.625
538,0.508,0.565,0.626,0.588,0.449,0.338,0.732,,0.214,0.414,0.683,0.671,0.624
539,0.508,0.565,0.626,0.588,0.448,0.338,0.732,,0.214,0.414,0.683,0.670,0.624
540,0.507,0.564,0.626,0.589,0.448,0.338,0.732,,0.214,0.413,0.682,0.670,0.625
541,0.508,0.564,0.625,0.588,0.448,0.337,0.731,,0.214,0.412,0.682,0.670,0.624
542,0.507,0.564,0.625,0.587,0.447,0.337,0.731,,0.214,0.412,0.682,0.670,0.624
543,0.507,0.564,0.625,0.587,0.447,0.336,0.731,,0.213,0.412,0.682,0.670,0.623
544,0.507,0.564,0.625,0.588,0.447,0.336,0.730,,0.213,0.412,0.682,0.670,0.624
545,0.507,0.564,0.625,0.588,0.447,0.336,0.730,,0.212,0.411,0.681,0.670,0.623
546,0.507,0.563,0.625,0.587,0.446,0.335,0.730,,0.212,0.411,0.681,0.669,0.623
547,0.506,0.563,0.624,0.586,0.446,0.335,0.729,,0.211,0.410,0.681,0.669,0.623
548,0.506,0.563,0.624,0.587,0.445,0.335,0.730,,0.211,0.410,0.681,0.668,0.623
549,0.506,0.563,0.624,0.586,0.445,0.334,0.730,,0.210,0.410,0.680,0.668,0.623
550,0.505,0.562,0.624,0.586,0.445,0.333,0.729,,0.210,0.409,0.680,0.668,0.622
551,0.505,0.562,0.624,0.586,0.445,0.334,0.729,,0.210,0.409,0.680,0.668,0.622
552,0.505,0.562,0.624,0.586,0.444,0.333,0.729,,0.209,0.408,0.680,0.668,0.622
553,0.505,0.562,0.624,0.586,0.444,0.332,0.729,,0.209,0.408,0.680,0.668,0.622
554,0.505,0.561,0.624,0.585,0.443,0.332,0.729,,0.208,0.408,0.679,0.667,0.621
555,0.504,0.561,0.623,0.585,0.443,0.332,0.729,,0.208,0.408,0.678,0.667,0.621
556,0.504,0.561,0.623,0.585,0.443,0.332,0.728,,0.208,0.407,0.678,0.667,0.621
