Start time (UTC), 1229 
 Sky conditions, sunny to foggy/sdv around 25 to nsdv at 40 
 Other notes, Melinda & Felix. Ponds refrozen with scant dusting of snow; SDV.  
 Ship latitude, 87.7816
 Ship longitude, 104.49022
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type,               s,               s,               s,               s,               s, frozenover pond,               s,               p,               p,               s,               s,               s,               s
Surface thickness (cm),  6,  6,  5,  5,  6,  0,  6, 37, 37,  7, 10,  5,  8
Notes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),30.0, 20.0, 20.0, 30.0, 10.0, 30.0, 20.0, 20.0, 10.0, 10.0, 0.0, 0.0, 10.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
588,,,,,,,0.905,0.206,0.194,0.852,0.872,0.935,0.907
589,,,,,,,0.905,0.204,0.193,0.851,0.871,0.935,0.907
590,,,,,,,0.905,0.203,0.191,0.851,0.871,0.935,0.907
591,,,,,,,0.905,0.201,0.190,0.851,0.871,0.935,0.907
592,,,,,,,0.905,0.200,0.188,0.851,0.871,0.935,0.907
593,,,,,,,0.905,0.199,0.187,0.851,0.871,0.935,0.907
594,,,,,,,0.905,0.197,0.185,0.851,0.871,0.935,0.907
595,,,,,,,0.905,0.196,0.184,0.851,0.871,0.935,0.907
596,,,,,,,0.906,0.194,0.182,0.851,0.871,0.935,0.907
597,,,,,,,0.906,0.192,0.180,0.851,0.871,0.936,0.907
598,,,,,,,0.906,0.190,0.178,0.851,0.871,0.936,0.908
599,,,,,,,0.906,0.188,0.176,0.851,0.871,0.936,0.908
600,,,,,,,0.906,0.187,0.174,0.851,0.871,0.936,0.908
601,,,,,,,0.906,0.185,0.173,0.850,0.871,0.937,0.908
602,,,,,,,0.906,0.184,0.171,0.850,0.870,0.937,0.908
603,,,,,,,0.906,0.183,0.170,0.850,0.870,0.937,0.908
604,,,,,,,0.906,0.182,0.169,0.850,0.870,0.937,0.908
605,,,,,,,0.906,0.181,0.168,0.850,0.870,0.937,0.908
606,,,,,,,0.906,0.180,0.168,0.850,0.870,0.937,0.908
607,,,,,,,0.906,0.180,0.167,0.850,0.870,0.937,0.908
608,,,,,,,0.906,0.179,0.166,0.850,0.870,0.937,0.908
609,,,,,,,0.906,0.178,0.166,0.850,0.870,0.937,0.908
610,,,,,,,0.906,0.178,0.165,0.850,0.870,0.937,0.908
611,,,,,,,0.906,0.178,0.165,0.850,0.870,0.937,0.908
612,,,,,,,0.906,0.177,0.164,0.850,0.870,0.937,0.908
613,,,,,,,0.906,0.176,0.164,0.849,0.870,0.937,0.908
614,,,,,,,0.906,0.176,0.163,0.849,0.870,0.937,0.908
615,,,,,,,0.906,0.175,0.162,0.850,0.870,0.937,0.908
616,,,,,,,0.906,0.175,0.162,0.849,0.869,0.937,0.908
617,,,,,,,0.906,0.174,0.161,0.849,0.869,0.937,0.908
618,,,,,,,0.905,0.173,0.161,0.849,0.869,0.937,0.908
619,,,,,,,0.905,0.173,0.160,0.849,0.869,0.937,0.908
620,,,,,,,0.905,0.172,0.160,0.849,0.868,0.937,0.908
621,,,,,,,0.905,0.172,0.159,0.849,0.868,0.937,0.907
622,,,,,,,0.905,0.171,0.158,0.848,0.868,0.937,0.907
623,,,,,,,0.905,0.170,0.158,0.848,0.868,0.937,0.908
624,,,,,,,0.905,0.170,0.157,0.848,0.868,0.937,0.907
625,,,,,,,0.905,0.169,0.156,0.848,0.868,0.937,0.907
626,,,,,,,0.904,0.168,0.156,0.848,0.867,0.936,0.907
627,,,,,,,0.904,0.168,0.155,0.848,0.867,0.936,0.907
628,,,,,,,0.904,0.167,0.154,0.847,0.867,0.936,0.907
629,,,,,,,0.904,0.166,0.154,0.847,0.867,0.936,0.907
630,,,,,,,0.904,0.166,0.153,0.848,0.867,0.936,0.907
631,,,,,,,0.904,0.165,0.153,0.847,0.867,0.936,0.906
632,,,,,,,0.904,0.165,0.152,0.847,0.867,0.937,0.906
633,,,,,,,0.904,0.164,0.152,0.847,0.866,0.937,0.906
634,,,,,,,0.904,0.164,0.151,0.847,0.866,0.937,0.906
635,,,,,,,0.904,0.163,0.151,0.847,0.866,0.937,0.906
636,,,,,,,0.904,0.163,0.150,0.847,0.866,0.937,0.906
637,,,,,,,0.904,0.163,0.150,0.847,0.866,0.937,0.906
638,,,,,,,0.904,0.162,0.149,0.847,0.866,0.937,0.906
639,,,,,,,0.904,0.161,0.148,0.847,0.866,0.937,0.906
640,,,,,,,0.904,0.161,0.148,0.847,0.866,0.937,0.906
641,,,,,,,0.904,0.160,0.147,0.847,0.866,0.937,0.906
642,,,,,,,0.904,0.160,0.147,0.847,0.865,0.937,0.906
643,,,,,,,0.904,0.159,0.146,0.847,0.866,0.937,0.906
644,,,,,,,0.903,0.159,0.146,0.846,0.866,0.937,0.905
645,,,,,,,0.903,0.158,0.145,0.846,0.865,0.936,0.906
646,,,,,,,0.903,0.157,0.145,0.846,0.865,0.936,0.905
647,,,,,,,0.903,0.157,0.144,0.846,0.864,0.936,0.905
648,,,,,,,0.902,0.156,0.144,0.846,0.864,0.936,0.905
649,,,,,,,0.902,0.156,0.143,0.846,0.865,0.936,0.905
650,,,,,,,0.902,0.155,0.142,0.846,0.865,0.936,0.905
651,,,,,,,0.902,0.154,0.141,0.845,0.864,0.936,0.905
652,,,,,,,0.902,0.154,0.141,0.846,0.864,0.936,0.905
653,,,,,,,0.902,0.153,0.141,0.846,0.864,0.936,0.905
654,,,,,,,0.902,0.153,0.140,0.845,0.864,0.936,0.905
655,,,,,,,0.902,0.152,0.139,0.845,0.863,0.936,0.905
656,,,,,,,0.902,0.151,0.138,0.845,0.863,0.936,0.905
657,,,,,,,0.902,0.150,0.137,0.845,0.864,0.937,0.905
658,,,,,,,0.902,0.150,0.137,0.845,0.864,0.937,0.904
659,,,,,,,0.902,0.149,0.136,0.845,0.864,0.937,0.904
660,,,,,,,0.902,0.149,0.135,0.845,0.863,0.937,0.904
661,,,,,,,0.902,0.148,0.135,0.845,0.863,0.937,0.905
662,,,,,,,0.902,0.148,0.134,0.844,0.863,0.937,0.904
663,,,,,,,0.902,0.147,0.134,0.845,0.863,0.937,0.904
664,,,,,,,0.902,0.147,0.134,0.845,0.863,0.937,0.904
665,,,,,,,0.902,0.147,0.133,0.844,0.862,0.937,0.904
666,,,,,,,0.902,0.146,0.133,0.844,0.862,0.937,0.904
667,,,,,,,0.902,0.146,0.133,0.845,0.863,0.937,0.904
668,,,,,,,0.902,0.145,0.133,0.845,0.863,0.937,0.904
669,,,,,,,0.902,0.145,0.132,0.845,0.863,0.937,0.904
670,,,,,,,0.902,0.145,0.132,0.844,0.862,0.937,0.904
671,,,,,,,0.901,0.145,0.131,0.844,0.862,0.937,0.904
672,,,,,,,0.901,0.144,0.131,0.844,0.862,0.937,0.904
673,,,,,,,0.901,0.144,0.131,0.844,0.862,0.937,0.904
